# ----------------------------------------,,,
# www.airtricity.com,,,
# Audience Overview,,,
# 20140919-20141019,,,
# ----------------------------------------,,,
,,,
Hour Index,Date Range,Segment,Sessions
0,19/09/2014 00:00,ROI Product Confirmation,0
0,19/09/2014 00:00,Prospects - ROI only,2
1,19/09/2014 01:00,ROI Product Confirmation,0
1,19/09/2014 01:00,Prospects - ROI only,1
2,19/09/2014 02:00,ROI Product Confirmation,0
2,19/09/2014 02:00,Prospects - ROI only,1
3,19/09/2014 03:00,ROI Product Confirmation,0
3,19/09/2014 03:00,Prospects - ROI only,0
4,19/09/2014 04:00,ROI Product Confirmation,0
4,19/09/2014 04:00,Prospects - ROI only,0
5,19/09/2014 05:00,ROI Product Confirmation,0
5,19/09/2014 05:00,Prospects - ROI only,0
6,19/09/2014 06:00,ROI Product Confirmation,0
6,19/09/2014 06:00,Prospects - ROI only,0
7,19/09/2014 07:00,ROI Product Confirmation,0
7,19/09/2014 07:00,Prospects - ROI only,7
8,19/09/2014 08:00,ROI Product Confirmation,1
8,19/09/2014 08:00,Prospects - ROI only,5
9,19/09/2014 09:00,ROI Product Confirmation,2
9,19/09/2014 09:00,Prospects - ROI only,12
10,19/09/2014 10:00,ROI Product Confirmation,0
10,19/09/2014 10:00,Prospects - ROI only,19
11,19/09/2014 11:00,ROI Product Confirmation,2
11,19/09/2014 11:00,Prospects - ROI only,21
12,19/09/2014 12:00,ROI Product Confirmation,0
12,19/09/2014 12:00,Prospects - ROI only,13
13,19/09/2014 13:00,ROI Product Confirmation,1
13,19/09/2014 13:00,Prospects - ROI only,14
14,19/09/2014 14:00,ROI Product Confirmation,2
14,19/09/2014 14:00,Prospects - ROI only,20
15,19/09/2014 15:00,ROI Product Confirmation,0
15,19/09/2014 15:00,Prospects - ROI only,18
16,19/09/2014 16:00,ROI Product Confirmation,1
16,19/09/2014 16:00,Prospects - ROI only,15
17,19/09/2014 17:00,ROI Product Confirmation,2
17,19/09/2014 17:00,Prospects - ROI only,20
18,19/09/2014 18:00,ROI Product Confirmation,0
18,19/09/2014 18:00,Prospects - ROI only,6
19,19/09/2014 19:00,ROI Product Confirmation,2
19,19/09/2014 19:00,Prospects - ROI only,8
20,19/09/2014 20:00,ROI Product Confirmation,0
20,19/09/2014 20:00,Prospects - ROI only,10
21,19/09/2014 21:00,ROI Product Confirmation,1
21,19/09/2014 21:00,Prospects - ROI only,4
22,19/09/2014 22:00,ROI Product Confirmation,1
22,19/09/2014 22:00,Prospects - ROI only,6
23,19/09/2014 23:00,ROI Product Confirmation,1
23,19/09/2014 23:00,Prospects - ROI only,5
